Timestamp,Temperature,Humidity,Gas
2025-11-05 14:22:21,T0.0C, H 0%, G175, Status:SAFE
2025-11-05 14:22:21,T0.0C, H 0%, G175, Status:SAFE
2025-11-05 14:22:24,T0.0C, H 0%, G144, Status:SAFE
2025-11-05 14:22:25,T29.8C, H59%, G134, Status:SAFE
2025-11-05 14:22:28,T29.8C, H61%, G154, Status:SAFE
2025-11-05 14:22:30,T29.8C, H65%, G160, Status:SAFE
2025-11-05 14:22:33,T29.9C, H65%, G150, Status:SAFE
2025-11-05 14:22:36,T29.9C, H65%, G157, Status:SAFE
2025-11-05 14:22:39,T29.9C, H66%, G153, Status:SAFE
2025-11-05 14:22:42,T29.9C, H66%, G142, Status:SAFE
2025-11-05 14:22:42,T29.9C, H66%, G142, Status:SAFE
2025-11-05 14:22:44,T29.9C, H66%, G150, Status:SAFE
2025-11-05 14:22:47,T29.9C, H66%, G142, Status:SAFE
2025-11-05 14:22:50,T30.0C, H66%, G150, Status:SAFE
2025-11-05 14:22:52,T30.0C, H66%, G142, Status:SAFE
2025-11-05 14:22:52,T30.0C, H66%, G142, Status:SAFE
2025-11-05 14:22:55,T30.0C, H66%, G142, Status:SAFE
2025-11-05 14:22:57,T30.0C, H66%, G142, Status:SAFE
2025-11-05 14:25:02,T30.1C, H66%, G128, Status:SAFE
2025-11-05 14:25:05,T30.1C, H66%, G128, Status:SAFE
2025-11-05 14:25:05,T30.1C, H66%, G128, Status:SAFE
2025-11-05 14:25:07,T30.1C, H66%, G135, Status:SAFE
2025-11-05 14:25:10,T30.1C, H66%, G136, Status:SAFE
2025-11-05 14:25:13,T30.1C, H66%, G144, Status:SAFE
2025-11-05 14:25:16,T30.1C, H66%, G125, Status:SAFE
2025-11-05 14:25:16,T30.1C, H66%, G125, Status:SAFE
2025-11-05 14:25:19,T30.1C, H66%, G127, Status:SAFE
2025-11-05 14:25:21,T30.1C, H66%, G127, Status:SAFE
2025-11-05 14:36:22,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:22,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:24,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:27,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:29,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:31,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:33,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:35,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:35,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:37,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:37,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:39,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:39,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:41,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:43,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:43,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:45,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:47,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:47,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:49,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:49,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:51,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:53,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:53,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:55,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:36:57,T30.2C, H65%, G111, Status:SAFE
2025-11-05 14:36:57,T30.2C, H65%, G111, Status:SAFE
2025-11-05 14:37:00,T30.2C, H65%, G103, Status:SAFE
2025-11-05 14:37:03,T30.2C, H65%, G103, Status:SAFE
2025-11-05 14:37:05,T30.2C, H65%, G103, Status:SAFE
2025-11-05 14:37:05,T30.2C, H65%, G103, Status:SAFE
2025-11-05 14:37:07,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:37:07,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:37:10,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:37:12,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:37:14,T30.2C, H65%, G112, Status:SAFE
2025-11-05 14:37:16,T30.2C, H65%, G112, Status:SAFE
